TimeStep,Macro_t0,Gap_t0,Macro_t50,Gap_t50,Macro_t100,Gap_t100
140,0.7711440122981275,0.011615083210152255,0.7504003114702938,0.02751151861178025,0.7623916339880841,0.015536601244366177
141,0.7709749491208128,0.010582381263697482,0.7504074520236903,0.02753271421097636,0.7626067817772021,0.01594202578759152
142,0.7711971426860446,0.011621776240490544,0.7508842311389651,0.026566460784349433,0.7633482594711916,0.014517206145291728
143,0.7718063340153604,0.010678822578776281,0.7515458414049763,0.024345952170149898,0.7631809183968631,0.015561140394112827
144,0.7716881046512005,0.010179396683664743,0.7515618628049472,0.023365302145396893,0.763323279218304,0.014701577953174949
145,0.771989624289993,0.010308327292568586,0.7518191799666694,0.024636300050677074,0.7632911885716517,0.014025839153667619
146,0.77252578565869,0.009742328848432291,0.7519353063764195,0.024701146333518498,0.763504472524377,0.013593030627497615
147,0.773027421922533,0.008546666159932936,0.7523002042334904,0.02503661528421086,0.7630782563980062,0.012881653420198536
148,0.7735582607420655,0.0070189466179731985,0.7523029391843398,0.025419836007289143,0.7633215988959194,0.012241850665527299
149,0.7735363375590617,0.005329078704354395,0.7525804892597232,0.023120333844626306,0.763274090260692,0.012833769512791138
